"filename", "language", "JSON", "JavaScript", "TypeScript", "JSON with Comments", "XML", "Markdown", "TypeScript JSX", "Prisma", "CSS", "comment", "blank", "total"
"c:\Users\Rei\Desktop\fitness-tracker\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\Rei\Desktop\fitness-tracker\app\types.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\alert\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 15, 151
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\alert\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 60
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 6, 64
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 1, 13, 131
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 13, 121
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 11, 115
"c:\Users\Rei\Desktop\fitness-tracker\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 8, 31
"c:\Users\Rei\Desktop\fitness-tracker\lib\client.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Rei\Desktop\fitness-tracker\lib\utils.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Rei\Desktop\fitness-tracker\middleware.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Rei\Desktop\fitness-tracker\next.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\Rei\Desktop\fitness-tracker\package-lock.json", "JSON", 6657, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6658
"c:\Users\Rei\Desktop\fitness-tracker\package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\Rei\Desktop\fitness-tracker\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rei\Desktop\fitness-tracker\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\Rei\Desktop\fitness-tracker\prisma\seed.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 4, 2, 98
"c:\Users\Rei\Desktop\fitness-tracker\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Rei\Desktop\fitness-tracker\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Rei\Desktop\fitness-tracker\tailwind.config.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 1, 2, 74
"c:\Users\Rei\Desktop\fitness-tracker\tsconfig.json", "JSON with Comments", 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 1, 29
"c:\Users\Rei\Desktop\fitness-tracker\types\next-auth.d.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 1, 13
"Total", "-", 6715, 84, 326, 29, 2, 22, 2500, 29, 36, 123, 363, 10229
